CustomerID,CustomerName,Region,Segment,SignupDate
CUST0162,Customer_162,North,Consumer,2022-10-06
CUST0163,Customer_163,West,Consumer,2022-08-05
CUST0164,Customer_164,West,Consumer,2024-05-16
CUST0165,Customer_165,South,,2024-05-22
CUST0166,Customer_166,North,Corporate,2024-03-08
CUST0167,Customer_167,West,Consumer,2022-09-30
CUST0168,Customer_168,East,Home Office,2024-05-30
CUST0169,Customer_169,East,Home Office,2022-03-03
CUST0170,Customer_170,South,Consumer,2023-08-19
CUST0171,Customer_171,West,Home Office,2024-05-29
CUST0172,Customer_172,North,Consumer,2023-12-30
CUST0173,Customer_173,East,Consumer,2022-12-08
CUST0174,Customer_174,West,Home Office,2023-02-01
CUST0175,Customer_175,West,Consumer,2023-11-30
CUST0176,Customer_176,South,Home Office,2022-01-19
CUST0177,Customer_177,East,Corporate,2022-06-26
CUST0178,Customer_178,East,Consumer,2023-09-04
CUST0179,Customer_179,North,Corporate,2023-01-31
CUST0180,Customer_180,East,Home Office,2023-03-21
CUST0181,Customer_181,North,Corporate,2022-08-21
CUST0182,Customer_182,East,Corporate,2022-03-17
CUST0183,Customer_183,South,Home Office,2022-09-22
CUST0184,Customer_184,East,Corporate,2023-03-31
CUST0185,Customer_185,North,Corporate,2024-03-06
CUST0186,Customer_186,North,Home Office,2023-12-19
CUST0187,Customer_187,South,Corporate,2024-01-05
CUST0188,Customer_188,East,Home Office,2023-01-19
CUST0189,Customer_189,East,Corporate,2023-07-18
CUST0190,Customer_190,South,Home Office,2024-04-30
CUST0191,Customer_191,East,Home Office,2023-05-21
CUST0192,Customer_192,East,Corporate,2023-01-02
CUST0193,Customer_193,North,Corporate,2022-05-24
CUST0194,Customer_194,East,Corporate,2024-06-03
CUST0195,Customer_195,East,Consumer,2022-03-10
CUST0196,Customer_196,South,Consumer,2022-04-09
CUST0197,Customer_197,South,Consumer,2023-01-31
CUST0198,Customer_198,West,Home Office,2022-01-25
CUST0199,Customer_199,North,Corporate,2024-06-09
CUST0200,Customer_200,East,Home Office,2023-04-14
CUST0201,Customer_201,East,Consumer,2023-04-29
CUST0202,Customer_202,West,Corporate,2023-07-19
CUST0203,Customer_203,East,Home Office,2022-05-31
CUST0204,Customer_204,North,Corporate,2022-05-24
CUST0205,Customer_205,West,Home Office,2023-07-23
CUST0206,Customer_206,North,Corporate,2022-02-08
CUST0207,Customer_207,West,Consumer,2022-04-19
CUST0208,Customer_208,West,Consumer,2023-11-24
CUST0209,Customer_209,South,Corporate,2022-02-11
CUST0210,Customer_210,North,Home Office,2022-07-05
CUST0211,Customer_211,East,Consumer,2023-02-02
CUST0212,Customer_212,East,Consumer,2022-08-11
CUST0213,Customer_213,North,Consumer,2023-09-26
CUST0214,Customer_214,East,Corporate,2022-05-13
CUST0215,Customer_215,East,Corporate,2022-06-12
CUST0216,Customer_216,North,Home Office,2022-08-03
CUST0217,Customer_217,West,Home Office,2024-01-03
CUST0218,Customer_218,North,Home Office,2022-08-23
CUST0219,Customer_219,West,Corporate,2024-04-22
CUST0220,Customer_220,East,Corporate,2023-10-20
CUST0221,Customer_221,East,,2024-01-21
CUST0222,Customer_222,East,Home Office,2023-08-11
CUST0223,Customer_223,South,Corporate,2022-01-09
CUST0224,Customer_224,West,Home Office,2022-03-15
CUST0225,Customer_225,South,Consumer,2023-05-07
CUST0226,Customer_226,South,Corporate,2022-09-10
CUST0227,Customer_227,North,Home Office,2022-08-18
CUST0228,Customer_228,South,Corporate,2023-06-03
CUST0229,Customer_229,North,Consumer,2022-06-23
CUST0230,Customer_230,North,Corporate,2023-10-15
CUST0231,Customer_231,South,Corporate,2022-06-17
CUST0232,Customer_232,West,Corporate,2022-06-19
CUST0233,Customer_233,West,Corporate,2023-01-28
CUST0234,Customer_234,West,Consumer,2024-03-05
CUST0235,Customer_235,West,Corporate,2023-09-26
CUST0236,Customer_236,West,Corporate,2022-07-13
CUST0237,Customer_237,South,Home Office,2023-06-01
CUST0238,Customer_238,South,Corporate,2022-01-29
CUST0239,Customer_239,East,Home Office,2022-06-14
CUST0240,Customer_240,West,Consumer,2023-02-26
CUST0241,Customer_241,South,Consumer,2022-12-05
CUST0242,Customer_242,East,Consumer,2023-10-10
CUST0243,Customer_243,West,Consumer,2023-05-11
CUST0244,Customer_244,North,Home Office,2022-12-31
CUST0245,Customer_245,East,Corporate,2024-04-12
CUST0246,Customer_246,South,Consumer,2022-12-08
CUST0247,Customer_247,North,,2023-05-15
CUST0248,Customer_248,North,Home Office,2023-10-19
CUST0249,Customer_249,North,Home Office,2023-05-26
CUST0250,Customer_250,East,Home Office,2022-11-23
CUST0001,Customer_1,East,Corporate,2024-03-30
CUST0002,Customer_2,West,Consumer,2023-10-18
CUST0003,Customer_3,North,Consumer,2022-09-26
CUST0004,Customer_4,East,Consumer,2023-01-05
CUST0005,Customer_5,East,Home Office,2023-09-28
