OrderID,Date,Product,Category,Quantity,UnitPrice,Region,PaymentMode,CustomerID
ORD1504,2025-01-13,USB-C Cable,Electronics,5.0,237.06,South,Credit Card,CUST1974
ORD1927,2025-07-28,Bluetooth Speaker,Electronics,8.0,1378.26,East,Debit Card,CUST1481
ORD1063,2025-02-15,LED Desk Lamp,Electronics,5.0,815.98, west ,Cash,CUST1746
ORD1610,2025-07-05,Table Lamp,Furniture,2.0,1296.07,South,,CUST1303
ORD2455,2025-02-26,LED Desk Lamp,Electronics,5.0,928.83,North,UPI,CUST1944
ORD1058,2025-07-08,Office Chair,Furniture,6.0,5281.33,West,UPI,CUST1273
ORD1210,2025-04-21,Water Bottle,Accessories,2.0,286.04,West,Net Banking,CUST1683
ORD1693,2025-05-22,Wireless Mouse,Electronics,5.0,604.21,West,UPI,CUST1374
ORD1452,2025-03-25,Coffee Mug,Kitchen,1.0,213.68,North,Debit Card,CUST1650
ORD1412,2025-03-25,Notebook Set,Stationery,7.0,142.45,West,Cash,CUST1116
ORD2211,2025-04-28,Coffee Mug,Kitchen,7.0,213.68,West,Cash,CUST1633
ORD1374,2025-05-12,Water Bottle,Accessories,8.0,296.97,West,Cash,CUST1936
ORD1901,2025-02-24,Desk Organizer,Stationery,1.0,358.82,East,Cash,CUST1809
ORD1674,2025-01-19,Table Lamp,Furniture,6.0,1301.65,North,Cash,CUST1805
ORD1117,2025-03-06,Wireless Mouse,Electronics,8.0,552.77,North,Debit Card,CUST1503
ORD2283,2025-07-12,Notebook Set,Stationery,4.0,148.79,West,Credit Card,CUST1275
ORD1701,2025-02-14,Yoga Mat,Fitness,7.0,823.56,East,Net Banking,CUST1669
ORD1206,2025-02-25,USB-C Cable,Electronics,7.0,245.01, east ,UPI,CUST1378
ORD2287,2025-04-25,Backpack,Accessories,2.0,1388.96,South,UPI,CUST1382
ORD1609,2025-06-21,Yoga Mat,Fitness,8.0,742.93, north ,Net Banking,CUST1076
ORD1361,2025-03-01,LED Desk Lamp,Electronics,6.0,912.93,East,UPI,CUST1309
ORD1204,2025-03-31,Water Bottle,Accessories,1.0,279.95,South,Net Banking,CUST1673
ORD1027,2025-06-16,Desk Organizer,Stationery,6.0,344.68,West,Credit Card,CUST1253
ORD2145,2025-03-02,Bluetooth Speaker,Electronics,2.0,1580.9,East,Cash,CUST1852
ORD1009,2025-04-27,LED Desk Lamp,Electronics,6.0,838.35,East,UPI,CUST1686
ORD2427,2025-07-28,Wireless Mouse,Electronics,6.0,614.69,North,UPI,CUST1267
ORD2088,2025-02-23,Office Chair,Furniture,3.0,5480.01,West,Credit Card,CUST1079
ORD1984,2025-05-27,Bluetooth Speaker,Electronics,5.0,1582.12,North,Debit Card,CUST1152
ORD2094,2025-01-26,Bluetooth Speaker,Electronics,1.0,1507.65,South,Cash,CUST1175
ORD2343,2025-03-25,Office Chair,Furniture,4.0,4552.35,East,UPI,CUST1871
ORD1869,2025-02-11,Office Chair,Furniture,4.0,4725.33,West,Credit Card,CUST1947
ORD1930,2025-01-17,Wireless Mouse,Electronics,-1.0,552.62,West,Debit Card,CUST1866
ORD1699,2025-01-12,Coffee Mug,Kitchen,1.0,218.13,East,Credit Card,CUST1720
ORD1518,2025-06-18,Notebook Set,Stationery,4.0,142.04,North,UPI,CUST1589
ORD1816,2025-04-30,Bluetooth Speaker,Electronics,1.0,1457.31, west ,Cash,CUST1813
ORD1348,2025-05-12,Office Chair,Furniture,7.0,4955.81,North,Net Banking,CUST1473
ORD2309,2025-07-14,USB-C Cable,Electronics,1.0,268.11,South,Credit Card,CUST1284
ORD1720,2025-01-22,Notebook Set,Stationery,5.0,151.93,West,Cash,CUST1193
ORD2266,2025-03-14,LED Desk Lamp,Electronics,4.0,842.02,West,Credit Card,CUST1125
ORD2128,2025-04-04,LED Desk Lamp,Electronics,7.0,845.38,,Net Banking,CUST1219
ORD2394,2025-01-08,Backpack,Accessories,1.0,1256.68,South,Credit Card,CUST1225
ORD1313,2025-07-04,Notebook Set,Stationery,1.0,151.49,South,Net Banking,CUST1644
ORD1167,2025-02-14,Backpack,Accessories,4.0,1203.44,East,Net Banking,CUST1513
ORD1358,2025-03-03,Wireless Mouse,Electronics,4.0,547.16,North,Debit Card,CUST1612
ORD1620,2025-04-23,Backpack,Accessories,1.0,1185.55,East,Credit Card,CUST1721
ORD1017,2025-02-10,Desk Organizer,Stationery,7.0,355.73, west ,Debit Card,CUST1610
ORD2282,2025-03-08,Water Bottle,Accessories,7.0,325.41,North,Credit Card,CUST1207
ORD2167,2025-04-22,USB-C Cable,Electronics,8.0,265.3,West,Credit Card,CUST1229
ORD1907,2025-03-22,Desk Organizer,Stationery,1.0,328.64,East,Cash,CUST1067
ORD1845,2025-06-09,Coffee Mug,Kitchen,3.0,196.63,South,UPI,CUST1701
ORD1118,2025-05-28,Bluetooth Speaker,Electronics,1.0,1394.59,East,Credit Card,CUST1254
ORD1640,2025-06-27,Office Chair,Furniture,0.0,5229.45,South,Credit Card,CUST1396
ORD2433,2025-04-12,Table Lamp,Furniture,5.0,1080.64,South,Debit Card,CUST1001
ORD2319,2025-01-15,Desk Organizer,Stationery,1.0,334.69,West,Debit Card,CUST1098
ORD1415,2025-02-05,Coffee Mug,Kitchen,5.0,188.73,South,Debit Card,CUST1808
ORD1262,2025-05-12,LED Desk Lamp,Electronics,7.0,986.94,West,Cash,CUST1037
ORD1510,2025-04-08,Wireless Mouse,Electronics,7.0,559.8,South,UPI,CUST1281
ORD1597,2025-05-14,Table Lamp,Furniture,6.0,1183.09,South,Cash,CUST1923
ORD2466,2025-06-30,LED Desk Lamp,Electronics,7.0,819.67,East,UPI,CUST1847
ORD2062,2025-06-23,Coffee Mug,Kitchen,2.0,217.94,West,UPI,CUST1502
ORD1739,2025-03-07,USB-C Cable,Electronics,5.0,258.67,West,Net Banking,CUST1495
ORD1447,2025-03-13,USB-C Cable,Electronics,3.0,240.22,East,Cash,CUST1586
ORD2077,2025-01-15,Yoga Mat,Fitness,3.0,770.19,South,Cash,CUST1167
ORD1023,2025-01-05,Coffee Mug,Kitchen,0.0,216.08,East,UPI,CUST1059
ORD1241,2025-04-04,Backpack,Accessories,4.0,1421.0,East,Debit Card,CUST1239
ORD1489,2025-01-14,Desk Organizer,Stationery,3.0,329.68,North,Debit Card,CUST1070
ORD2146,2025-07-08,Yoga Mat,Fitness,7.0,847.87,South,Debit Card,CUST1223
ORD1506,2025-01-16,Wireless Mouse,Electronics,4.0,554.76,West,Cash,CUST1702
ORD1252,2025-02-08,Notebook Set,Stationery,7.0,137.41,East,UPI,CUST1308
ORD1541,2025-04-11,Wireless Mouse,Electronics,8.0,557.5,East,Credit Card,CUST1437
ORD1186,2025-07-22,Water Bottle,Accessories,4.0,304.31,North,UPI,CUST1271
ORD1658,2025-06-02,Water Bottle,Accessories,1.0,315.36,East,Debit Card,CUST1808
ORD1857,2025-03-02,LED Desk Lamp,Electronics,5.0,955.08,East,Debit Card,CUST1911
ORD1606,2025-02-21,Yoga Mat,Fitness,5.0,851.97,South,Cash,CUST1720
ORD1396,2025-06-02,Yoga Mat,Fitness,7.0,873.93,East,Credit Card,CUST1649
ORD2410,2025-02-28,Wireless Mouse,Electronics,6.0,580.16,South,Net Banking,CUST1055
ORD2412,2025-04-24,Office Chair,Furniture,1.0,4563.7,West,Credit Card,CUST1976
ORD2473,2025-02-23,Office Chair,Furniture,4.0,5303.3, south ,Credit Card,CUST1370
ORD2123,2025-01-17,Table Lamp,Furniture,5.0,1106.55,South,Credit Card,CUST1551
ORD1013,2025-05-26,Notebook Set,Stationery,6.0,140.44,West,Debit Card,CUST1905
ORD1108,2025-05-06,Table Lamp,Furniture,8.0,1269.25,North,Cash,CUST1226
ORD1962,2025-06-04,Bluetooth Speaker,Electronics,3.0,1621.96,South,Debit Card,CUST1378
ORD1392,2025-01-05,Water Bottle,Accessories,4.0,304.2,West,Credit Card,CUST1306
ORD1742,2025-06-23,Notebook Set,Stationery,4.0,157.94,West,Cash,CUST1528
ORD2067,2025-04-19,Table Lamp,Furniture,7.0,1112.57,North,UPI,CUST1212
ORD1034,2025-02-18,Notebook Set,Stationery,8.0,138.28,South,Cash,CUST1473
ORD1369,2025-01-14,Notebook Set,Stationery,5.0,145.34,North,Credit Card,CUST1192
ORD1098,2025-06-25,LED Desk Lamp,Electronics,2.0,952.26,North,Cash,CUST1545
ORD2457,2025-07-16,Yoga Mat,Fitness,2.0,822.01,West,Debit Card,CUST1669
ORD2033,2025-04-14,Table Lamp,Furniture,3.0,1268.51,East,Debit Card,CUST1720
ORD1287,2025-02-27,Table Lamp,Furniture,6.0,1306.31,East,Credit Card,CUST1256
ORD2076,2025-05-02,Desk Organizer,Stationery,2.0,340.15,North,Cash,CUST1166
ORD2085,2025-01-05,Office Chair,Furniture,8.0,4847.24,,UPI,CUST1836
ORD1445,2025-05-31,Table Lamp,Furniture,6.0,1285.58,West,UPI,CUST1630
ORD1507,2025-06-15,Desk Organizer,Stationery,2.0,354.75,East,Credit Card,CUST1022
ORD1285,2025-06-13,USB-C Cable,Electronics,3.0,262.34,South,Debit Card,CUST1514
ORD1324,2025-06-17,Coffee Mug,Kitchen,5.0,208.84,South,UPI,CUST1847
ORD1642,2025-07-15,Table Lamp,Furniture,4.0,1144.71,East,Cash,CUST1463
ORD2078,2025-03-11,Wireless Mouse,Electronics,6.0,589.36,East,Credit Card,CUST1296
ORD1024,2025-05-26,Notebook Set,Stationery,2.0,136.65,West,Credit Card,CUST1778
ORD1110,2025-03-30,USB-C Cable,Electronics,7.0,273.73,East,Cash,CUST1719
ORD1015,2025-07-11,LED Desk Lamp,Electronics,7.0,970.53,West,Cash,CUST1224
ORD2369,2025-06-26,Wireless Mouse,Electronics,8.0,542.32,South,Credit Card,CUST1933
ORD1905,2025-06-10,Office Chair,Furniture,8.0,5390.98,East,Debit Card,CUST1802
ORD1712,2025-06-03,Backpack,Accessories,,1375.54,South,Net Banking,CUST1675
ORD2471,2025-02-03,Bluetooth Speaker,Electronics,6.0,1574.63,North,Cash,CUST1468
ORD1147,2025-05-02,Table Lamp,Furniture,7.0,1171.68,South,Debit Card,CUST1987
ORD1740,2025-07-13,Notebook Set,Stationery,6.0,162.74,West,Debit Card,CUST1918
ORD1430,2025-02-17,USB-C Cable,Electronics,6.0,240.33,West,Credit Card,CUST1268
ORD1228,2025-06-16,Yoga Mat,Fitness,4.0,770.48,West,Net Banking,CUST1154
ORD2351,2025-02-28,Water Bottle,Accessories,1.0,296.92,East,Debit Card,CUST1461
ORD1707,2025-05-03,Desk Organizer,Stationery,8.0,328.81,South,Debit Card,CUST1022
ORD1330,2025-03-01,Yoga Mat,Fitness,1.0,865.03,South,Debit Card,CUST1903
ORD1185,2025-07-24,LED Desk Lamp,Electronics,3.0,828.86,North,UPI,CUST1015
ORD2124,2025-01-10,Water Bottle,Accessories,8.0,308.43,West,Net Banking,CUST1527
ORD2097,2025-04-08,Water Bottle,Accessories,7.0,281.91,South,Debit Card,CUST1115
ORD2292,2025-06-28,Backpack,Accessories,2.0,1384.86,East,Debit Card,CUST1215
ORD1913,2025-04-24,Bluetooth Speaker,Electronics,1.0,1588.65,South,UPI,CUST1348
ORD1099,2025-06-19,Backpack,Accessories,6.0,1187.01,East,Credit Card,CUST1869
ORD1004,2025-02-09,LED Desk Lamp,Electronics,4.0,981.21,East,Credit Card,CUST1094
ORD2115,2025-01-09,Wireless Mouse,Electronics,3.0,605.79,East,UPI,CUST1503
ORD1046,2025-05-25,Yoga Mat,Fitness,2.0,730.81,South,Net Banking,CUST1271
ORD2318,2025-01-15,Coffee Mug,Kitchen,5.0,203.41,West,Credit Card,CUST1104
ORD1666,2025-07-30,USB-C Cable,Electronics,6.0,249.71,West,Debit Card,CUST1044
ORD1193,2025-04-21,Yoga Mat,Fitness,2.0,845.84,North,Net Banking,CUST1738
ORD1744,2025-07-30,Table Lamp,Furniture,6.0,1097.33,South,Debit Card,CUST1321
ORD2232,2025-07-20,Water Bottle,Accessories,6.0,315.11,East,UPI,CUST1873
ORD1189,2025-07-20,Table Lamp,Furniture,5.0,1188.94,North,Credit Card,CUST1490
ORD1026,2025-05-16,LED Desk Lamp,Electronics,7.0,982.49,South,Cash,CUST1408
ORD1858,2025-05-23,Wireless Mouse,Electronics,5.0,566.12,East,Debit Card,CUST1672
ORD2098,2025-02-01,Water Bottle,Accessories,8.0,275.7,South,Debit Card,CUST1780
ORD1075,2025-03-04,Backpack,Accessories,3.0,1339.54,North,Credit Card,CUST1797
ORD1673,2025-04-10,Wireless Mouse,Electronics,2.0,603.17,North,Net Banking,CUST1046
ORD1828,2025-07-30,Table Lamp,Furniture,5.0,1299.5,South,Credit Card,CUST1038
ORD1581,2025-04-14,Backpack,Accessories,7.0,1360.5,South,Cash,CUST1743
ORD2203,2025-03-18,Coffee Mug,Kitchen,3.0,218.27,East,UPI,CUST1535
ORD1970,2025-03-11,Desk Organizer,Stationery,6.0,332.97,North,Cash,CUST1670
ORD1471,2025-05-07,Notebook Set,Stationery,7.0,137.46,West,Net Banking,CUST1072
ORD2478,2025-03-19,Coffee Mug,Kitchen,3.0,205.08,West,Credit Card,CUST1796
ORD1713,2025-03-09,USB-C Cable,Electronics,3.0,260.16,East,Debit Card,CUST1610
ORD1328,2025-02-10,USB-C Cable,Electronics,7.0,256.61,West,Debit Card,CUST1666
ORD1113,2025-07-14,Yoga Mat,Fitness,5.0,875.79,South,Cash,CUST1232
ORD2244,2025-02-08,Desk Organizer,Stationery,1.0,382.35,East,Debit Card,CUST1411
ORD1051,2025-03-06,Coffee Mug,Kitchen,,182.77,West,Cash,CUST1045
ORD1915,2025-06-23,USB-C Cable,Electronics,3.0,234.32,North,Debit Card,CUST1396
ORD1249,2025-04-06,Bluetooth Speaker,Electronics,4.0,1357.55,North,Cash,CUST1810
ORD1562,2025-03-21,LED Desk Lamp,Electronics,5.0,960.64,North,UPI,CUST1137
ORD1500,2025-02-04,Notebook Set,Stationery,2.0,138.73,South,Debit Card,CUST1477
ORD2013,2025-06-21,Office Chair,Furniture,1.0,4553.12,East,Cash,CUST1214
ORD1769,2025-04-16,Coffee Mug,Kitchen,3.0,186.42,North,UPI,CUST1745
ORD1286,2025-02-01,Wireless Mouse,Electronics,3.0,575.53,South,Cash,CUST1957
ORD2200,2025-07-27,Backpack,Accessories,6.0,1328.58,West,Debit Card,CUST1095
ORD1259,2025-02-04,Water Bottle,Accessories,1.0,290.17,East,,CUST1850
ORD2187,2025-07-30,USB-C Cable,Electronics,5.0,252.15,South,Net Banking,CUST1994
ORD1981,2025-02-15,LED Desk Lamp,Electronics,8.0,821.58,South,Net Banking,CUST1402
ORD1881,2025-04-26,Table Lamp,Furniture,6.0,1099.56,West,Net Banking,CUST1626
ORD2303,2025-04-12,Desk Organizer,Stationery,2.0,374.82,West,UPI,CUST1565
ORD2480,2025-01-30,Bluetooth Speaker,Electronics,2.0,1385.69,South,Credit Card,CUST1600
ORD2141,2025-06-18,LED Desk Lamp,Electronics,3.0,924.94,North,Debit Card,CUST1801
ORD1164,2025-06-08,Notebook Set,Stationery,5.0,154.3,South,Credit Card,CUST1925
ORD1278,2025-07-02,Office Chair,Furniture,8.0,5496.16,East,Cash,CUST1726
ORD2241,2025-04-16,Backpack,Accessories,7.0,1402.42,East,Credit Card,CUST1453
ORD1207,2025-07-04,LED Desk Lamp,Electronics,6.0,948.78,North,Credit Card,CUST1159
ORD1275,2025-03-05,LED Desk Lamp,Electronics,0.0,813.76,South,Debit Card,CUST1530
ORD1835,2025-06-12,Wireless Mouse,Electronics,7.0,545.58,North,Cash,CUST1552
ORD2199,2025-05-02,Backpack,Accessories,5.0,1315.38,West,Credit Card,
ORD1284,2025-06-14,Water Bottle,Accessories,2.0,296.01,East,UPI,CUST1899
ORD2317,2025-01-16,Bluetooth Speaker,Electronics,1.0,1462.24,North,UPI,CUST1063
ORD2451,2025-02-06,Table Lamp,Furniture,1.0,1109.76,North,Cash,CUST1852
ORD1020,2025-02-10,Backpack,Accessories,8.0,1169.94,East,Net Banking,CUST1780
ORD2295,2025-06-03,Coffee Mug,Kitchen,6.0,179.73,South,Credit Card,CUST1623
ORD1464,2025-07-18,Backpack,Accessories,3.0,1335.78,South,Credit Card,CUST1543
ORD2093,2025-03-13,Table Lamp,Furniture,6.0,1163.56,South,Net Banking,CUST1583
ORD1397,2025-07-20,LED Desk Lamp,Electronics,8.0,897.31,East,Net Banking,CUST1963
ORD1416,2025-01-19,Backpack,Accessories,8.0,1426.48, west ,Net Banking,CUST1410
ORD2217,2025-05-30,Coffee Mug,Kitchen,4.0,187.11,West,Credit Card,CUST1341
ORD1997,2025-01-10,Bluetooth Speaker,Electronics,3.0,1495.67,North,Debit Card,CUST1928
ORD2249,2025-03-14,USB-C Cable,Electronics,4.0,228.72,,Net Banking,CUST1348
ORD1899,2025-01-31,Wireless Mouse,Electronics,1.0,594.79,North,UPI,CUST1818
ORD2198,2025-06-20,Water Bottle,Accessories,2.0,318.86,South,Debit Card,CUST1456
ORD1547,2025-05-25,LED Desk Lamp,Electronics,1.0,836.27,North,Credit Card,CUST1684
ORD2196,2025-02-11,Notebook Set,Stationery,7.0,157.33,East,UPI,CUST1123
ORD2042,2025-07-24,Water Bottle,Accessories,2.0,280.36,West,Credit Card,CUST1082
ORD1378,2025-07-05,Coffee Mug,Kitchen,8.0,197.44,East,UPI,CUST1143
ORD1128,2025-05-09,LED Desk Lamp,Electronics,8.0,887.81,North,Debit Card,CUST1752
ORD1808,2025-05-19,LED Desk Lamp,Electronics,6.0,890.74,West,UPI,CUST1904
ORD2465,2025-03-21,Water Bottle,Accessories,2.0,285.45,West,UPI,CUST1506
ORD1882,2025-04-07,Office Chair,Furniture,7.0,4543.0,South,Cash,CUST1579
ORD1330,2025-03-01,Yoga Mat,Fitness,1.0,865.03,South,Debit Card,CUST1903
ORD1783,2025-07-03,Office Chair,Furniture,7.0,5327.36,South,Cash,CUST1081
ORD2490,2025-05-28,Office Chair,Furniture,8.0,5194.06,East,Net Banking,CUST1551
ORD1151,2025-06-10,Water Bottle,Accessories,8.0,321.27,North,Net Banking,CUST1070
ORD2023,2025-02-13,Backpack,Accessories,6.0,1226.22,East,Net Banking,CUST1160
ORD1326,2025-05-16,Desk Organizer,Stationery,4.0,358.63,North,Credit Card,CUST1423
ORD1652,2025-03-15,Table Lamp,Furniture,1.0,1301.27,West,Debit Card,CUST1979
ORD2169,2025-04-08,Coffee Mug,Kitchen,3.0,196.27,South,Net Banking,CUST1220
ORD2476,2025-02-15,Coffee Mug,Kitchen,1.0,183.77,East,Net Banking,CUST1444
ORD2435,2025-04-06,Office Chair,Furniture,3.0,5203.01,South,Debit Card,CUST1186
ORD1565,2025-07-14,Coffee Mug,Kitchen,6.0,211.78,South,Credit Card,CUST1318
ORD2385,2025-04-13,Table Lamp,Furniture,4.0,1174.22,North,Cash,CUST1117
ORD1426,2025-03-04,Table Lamp,Furniture,3.0,1211.45,East,Net Banking,CUST1436
ORD1789,2025-02-08,Bluetooth Speaker,Electronics,1.0,1497.08,East,Debit Card,CUST1319
ORD2404,2025-06-05,Wireless Mouse,Electronics,8.0,584.91,South,Net Banking,CUST1601
ORD1671,2025-01-14,Bluetooth Speaker,Electronics,3.0,1587.21,North,Net Banking,CUST1841
ORD1936,2025-01-30,Coffee Mug,Kitchen,8.0,192.05,North,Debit Card,CUST1180
ORD1872,2025-07-18,Backpack,Accessories,1.0,1327.04,West,Cash,CUST1403
ORD2274,2025-07-12,Notebook Set,Stationery,8.0,149.08,North,Credit Card,CUST1674
ORD1880,2025-03-24,LED Desk Lamp,Electronics,3.0,938.26,North,Credit Card,CUST1116
ORD1540,2025-04-15,Notebook Set,Stationery,5.0,153.79,East,UPI,CUST1098
