OrderID,Date,Product,Category,Quantity,UnitPrice,Region,PaymentMode,CustomerID,Revenue,Month,UnitsSold
ORD1520,2025-01-08,Yoga Mat,Fitness,6.0,870.52,South,Net Banking,CUST1971,5223.12,2025-01,6.0
ORD1273,2025-01-09,Yoga Mat,Fitness,3.0,827.61,East,Cash,CUST1454,2482.83,2025-01,3.0
ORD2053,2025-01-09,Table Lamp,Furniture,6.0,1313.63,South,Cash,CUST1459,7881.78,2025-01,6.0
ORD1272,2025-01-09,Coffee Mug,Kitchen,3.0,181.78,East,Cash,CUST1392,545.34,2025-01,3.0
ORD2262,2025-01-09,Coffee Mug,Kitchen,3.0,216.67,East,Credit Card,CUST1616,650.01,2025-01,3.0
ORD1650,2025-01-09,USB-C Cable,Electronics,6.0,264.64,North,Net Banking,CUST1888,1587.84,2025-01,6.0
ORD2115,2025-01-09,Wireless Mouse,Electronics,3.0,605.79,East,Upi,CUST1503,1817.37,2025-01,3.0
ORD2424,2025-01-10,Backpack,Accessories,2.0,1269.08,South,Upi,CUST1781,2538.16,2025-01,2.0
ORD1733,2025-01-10,Desk Organizer,Stationery,6.0,330.8,North,Upi,CUST1088,1984.8,2025-01,6.0
ORD1890,2025-01-10,Water Bottle,Accessories,3.0,320.16,East,Cash,CUST1942,960.48,2025-01,3.0
ORD1331,2025-01-10,Office Chair,Furniture,7.0,5286.9,South,Cash,CUST1897,37008.3,2025-01,7.0
ORD1134,2025-01-10,USB-C Cable,Electronics,8.0,228.49,East,Cash,CUST1118,1827.92,2025-01,8.0
ORD1997,2025-01-10,Bluetooth Speaker,Electronics,3.0,1495.67,North,Debit Card,CUST1928,4487.01,2025-01,3.0
ORD1261,2025-01-10,Coffee Mug,Kitchen,5.0,187.12,South,Credit Card,CUST1323,935.6,2025-01,5.0
ORD1559,2025-01-10,Coffee Mug,Kitchen,3.0,190.06,South,Net Banking,CUST1623,570.18,2025-01,3.0
ORD2124,2025-01-10,Water Bottle,Accessories,8.0,308.43,West,Net Banking,CUST1527,2467.44,2025-01,8.0
ORD1656,2025-01-11,Backpack,Accessories,7.0,1241.61,East,Upi,CUST1164,8691.27,2025-01,7.0
ORD1697,2025-01-11,Water Bottle,Accessories,4.0,314.64,South,Credit Card,CUST1270,1258.56,2025-01,4.0
ORD1991,2025-01-11,USB-C Cable,Electronics,7.0,257.0,East,Debit Card,CUST1917,1799.0,2025-01,7.0
ORD2377,2025-01-11,Yoga Mat,Fitness,2.0,765.11,West,Cash,CUST1717,1530.22,2025-01,2.0
ORD1709,2025-01-11,USB-C Cable,Electronics,3.0,226.88,East,Upi,CUST1529,680.64,2025-01,3.0
ORD2177,2025-01-11,USB-C Cable,Electronics,3.0,237.06,West,Cash,CUST1898,711.18,2025-01,3.0
ORD1998,2025-01-12,Yoga Mat,Fitness,4.0,831.17,East,Credit Card,CUST1176,3324.68,2025-01,4.0
ORD2336,2025-01-12,Water Bottle,Accessories,5.0,281.01,East,Upi,CUST1224,1405.05,2025-01,5.0
ORD1699,2025-01-12,Coffee Mug,Kitchen,1.0,218.13,East,Credit Card,CUST1720,218.13,2025-01,1.0
ORD1175,2025-01-12,Office Chair,Furniture,1.0,4803.4,West,Credit Card,CUST1099,4803.4,2025-01,1.0
ORD1718,2025-01-12,Water Bottle,Accessories,7.0,282.82,West,Debit Card,CUST1358,1979.74,2025-01,7.0
ORD1257,2025-01-12,Coffee Mug,Kitchen,7.0,218.15,East,Credit Card,CUST1365,1527.05,2025-01,7.0
ORD1419,2025-01-12,Yoga Mat,Fitness,7.0,873.6,East,Debit Card,CUST1108,6115.2,2025-01,7.0
ORD1211,2025-01-12,LED Desk Lamp,Electronics,4.0,880.17,North,Credit Card,CUST1209,3520.68,2025-01,4.0
ORD1708,2025-01-12,Notebook Set,Stationery,3.0,151.19,South,Upi,CUST1644,453.57,2025-01,3.0
ORD1546,2025-01-12,Coffee Mug,Kitchen,5.0,196.6,East,Upi,CUST1857,983.0,2025-01,5.0
ORD1602,2025-01-13,Wireless Mouse,Electronics,2.0,589.03,West,Credit Card,CUST1560,1178.06,2025-01,2.0
ORD1924,2025-01-13,Desk Organizer,Stationery,2.0,340.88,North,Debit Card,CUST1401,681.76,2025-01,2.0
ORD1999,2025-01-13,Desk Organizer,Stationery,5.0,371.39,North,Debit Card,CUST1625,1856.95,2025-01,5.0
ORD1891,2025-01-13,Bluetooth Speaker,Electronics,2.0,1474.1,South,Upi,CUST1688,2948.2,2025-01,2.0
ORD1504,2025-01-13,USB-C Cable,Electronics,5.0,237.06,South,Credit Card,CUST1974,1185.3,2025-01,5.0
ORD1301,2025-01-13,Wireless Mouse,Electronics,5.0,598.39,West,Cash,CUST1549,2991.95,2025-01,5.0
ORD1253,2025-01-13,Bluetooth Speaker,Electronics,4.0,1474.96,West,Credit Card,CUST1113,5899.84,2025-01,4.0
ORD2315,2025-01-14,Water Bottle,Accessories,6.0,300.18,South,Credit Card,CUST1794,1801.08,2025-01,6.0
ORD2183,2025-01-14,Office Chair,Furniture,4.0,4682.2,West,Cash,CUST1167,18728.8,2025-01,4.0
ORD1395,2025-01-14,Water Bottle,Accessories,2.0,295.24,North,Cash,CUST1619,590.48,2025-01,2.0
ORD1033,2025-01-14,Table Lamp,Furniture,2.0,1093.63,East,Credit Card,CUST1254,2187.26,2025-01,2.0
ORD2413,2025-01-14,Notebook Set,Stationery,3.0,162.06,South,Credit Card,CUST1177,486.18,2025-01,3.0
ORD1943,2025-01-14,USB-C Cable,Electronics,1.0,259.13,East,Credit Card,CUST1881,259.13,2025-01,1.0
ORD1671,2025-01-14,Bluetooth Speaker,Electronics,3.0,1587.21,North,Net Banking,CUST1841,4761.63,2025-01,3.0
ORD2015,2025-01-14,Table Lamp,Furniture,3.0,1117.0,North,Debit Card,CUST1527,3351.0,2025-01,3.0
ORD1369,2025-01-14,Notebook Set,Stationery,5.0,145.34,North,Credit Card,CUST1192,726.7,2025-01,5.0
ORD1489,2025-01-14,Desk Organizer,Stationery,3.0,329.68,North,Debit Card,CUST1070,989.04,2025-01,3.0
ORD2142,2025-01-15,Wireless Mouse,Electronics,2.0,576.71,East,Credit Card,CUST1922,1153.42,2025-01,2.0
ORD1791,2025-01-15,Office Chair,Furniture,5.0,5274.6,North,Net Banking,CUST1481,26373.0,2025-01,5.0
ORD1817,2025-01-15,Table Lamp,Furniture,5.0,1205.96,North,Cash,CUST1079,6029.8,2025-01,5.0
ORD2281,2025-01-15,Table Lamp,Furniture,5.0,643.29,East,Upi,CUST1422,3216.45,2025-01,5.0
ORD2319,2025-01-15,Desk Organizer,Stationery,1.0,334.69,West,Debit Card,CUST1098,334.69,2025-01,1.0
ORD2077,2025-01-15,Yoga Mat,Fitness,3.0,770.19,South,Cash,CUST1167,2310.57,2025-01,3.0
ORD1522,2025-01-15,Bluetooth Speaker,Electronics,4.0,1529.48,North,Net Banking,CUST1489,6117.92,2025-01,4.0
ORD1567,2025-01-15,Notebook Set,Stationery,4.0,135.09,North,Cash,CUST1721,540.36,2025-01,4.0
ORD1995,2025-01-15,Water Bottle,Accessories,6.0,316.21,North,Debit Card,CUST1121,1897.26,2025-01,6.0
ORD2318,2025-01-15,Coffee Mug,Kitchen,5.0,203.41,West,Credit Card,CUST1104,1017.05,2025-01,5.0
ORD1506,2025-01-16,Wireless Mouse,Electronics,4.0,554.76,West,Cash,CUST1702,2219.04,2025-01,4.0
ORD1121,2025-01-16,Yoga Mat,Fitness,2.0,870.52,South,Upi,CUST1270,1741.04,2025-01,2.0
ORD1524,2025-01-16,Water Bottle,Accessories,1.0,277.93,South,Credit Card,CUST1866,277.93,2025-01,1.0
ORD2317,2025-01-16,Bluetooth Speaker,Electronics,1.0,1462.24,North,Upi,CUST1063,1462.24,2025-01,1.0
ORD2135,2025-01-16,Desk Organizer,Stationery,4.0,339.53,South,Upi,CUST1154,1358.12,2025-01,4.0
ORD1894,2025-01-17,USB-C Cable,Electronics,5.0,247.55,North,Cash,CUST1337,1237.75,2025-01,5.0
ORD2123,2025-01-17,Table Lamp,Furniture,5.0,1106.55,South,Credit Card,CUST1551,5532.75,2025-01,5.0
ORD1028,2025-01-17,Notebook Set,Stationery,6.0,134.73,South,Net Banking,CUST1225,808.38,2025-01,6.0
ORD1174,2025-01-17,Desk Organizer,Stationery,8.0,377.58,East,Debit Card,CUST1119,3020.64,2025-01,8.0
ORD1351,2025-01-17,Table Lamp,Furniture,1.0,1303.21,North,Debit Card,CUST1032,1303.21,2025-01,1.0
ORD1205,2025-01-18,Backpack,Accessories,3.0,1361.6,North,Credit Card,CUST1764,4084.8,2025-01,3.0
ORD2434,2025-01-18,Bluetooth Speaker,Electronics,7.0,1506.48,East,Debit Card,CUST1174,10545.36,2025-01,7.0
ORD1042,2025-01-18,Yoga Mat,Fitness,4.0,783.62,South,Net Banking,CUST1608,3134.48,2025-01,4.0
ORD1533,2025-01-18,Table Lamp,Furniture,6.0,1140.65,North,Credit Card,CUST1049,6843.9,2025-01,6.0
ORD2400,2025-01-18,Wireless Mouse,Electronics,4.0,588.35,West,Credit Card,CUST1729,2353.4,2025-01,4.0
ORD1714,2025-01-18,Yoga Mat,Fitness,4.0,779.54,South,Credit Card,CUST1016,3118.16,2025-01,4.0
ORD1092,2025-01-18,Desk Organizer,Stationery,1.0,366.75,South,Upi,CUST1859,366.75,2025-01,1.0
ORD1304,2025-01-19,LED Desk Lamp,Electronics,7.0,899.77,East,Net Banking,CUST1696,6298.39,2025-01,7.0
ORD2016,2025-01-19,Bluetooth Speaker,Electronics,4.0,1565.38,East,Debit Card,CUST1203,6261.52,2025-01,4.0
ORD1029,2025-01-19,Wireless Mouse,Electronics,1.0,566.53,North,Cash,CUST1072,566.53,2025-01,1.0
ORD1416,2025-01-19,Backpack,Accessories,8.0,1426.48,West,Net Banking,CUST1410,11411.84,2025-01,8.0
ORD1674,2025-01-19,Table Lamp,Furniture,6.0,1301.65,North,Cash,CUST1805,7809.9,2025-01,6.0
ORD1451,2025-01-20,Coffee Mug,Kitchen,2.0,643.29,East,Cash,CUST1465,1286.58,2025-01,2.0
ORD1035,2025-01-20,Notebook Set,Stationery,8.0,158.18,North,Credit Card,CUST1667,1265.44,2025-01,8.0
ORD1538,2025-01-20,Table Lamp,Furniture,2.0,1160.14,West,Credit Card,CUST1441,2320.28,2025-01,2.0
ORD1215,2025-01-20,Coffee Mug,Kitchen,6.0,202.02,West,Debit Card,CUST1296,1212.12,2025-01,6.0
ORD1386,2025-01-21,Backpack,Accessories,6.0,1418.33,West,Net Banking,CUST1249,8509.98,2025-01,6.0
ORD1122,2025-01-21,Desk Organizer,Stationery,3.0,330.84,North,Upi,CUST1002,992.52,2025-01,3.0
ORD1990,2025-01-21,Water Bottle,Accessories,8.0,314.58,East,Upi,CUST1180,2516.64,2025-01,8.0
ORD2417,2025-01-21,Coffee Mug,Kitchen,6.0,194.95,South,Debit Card,CUST1451,1169.7,2025-01,6.0
ORD2191,2025-01-21,Wireless Mouse,Electronics,8.0,638.62,West,Debit Card,CUST1643,5108.96,2025-01,8.0
ORD2206,2025-01-21,Yoga Mat,Fitness,1.0,737.31,West,Upi,CUST1805,737.31,2025-01,1.0
ORD1368,2025-01-21,Desk Organizer,Stationery,8.0,373.23,North,Net Banking,CUST1741,2985.84,2025-01,8.0
ORD2006,2025-01-21,Coffee Mug,Kitchen,1.0,179.39,North,Net Banking,CUST1908,179.39,2025-01,1.0
ORD1389,2025-01-22,Office Chair,Furniture,8.0,5344.26,East,Net Banking,CUST1878,42754.08,2025-01,8.0
ORD1256,2025-01-22,Desk Organizer,Stationery,6.0,318.82,North,Debit Card,CUST1894,1912.92,2025-01,6.0
ORD2248,2025-01-22,LED Desk Lamp,Electronics,1.0,905.73,West,Upi,CUST1532,905.73,2025-01,1.0
ORD1418,2025-01-22,Desk Organizer,Stationery,2.0,367.77,East,Upi,CUST1662,735.54,2025-01,2.0
ORD1720,2025-01-22,Notebook Set,Stationery,5.0,151.93,West,Cash,CUST1193,759.65,2025-01,5.0
ORD2387,2025-01-22,Bluetooth Speaker,Electronics,4.0,1563.03,West,Upi,CUST1482,6252.12,2025-01,4.0
ORD2350,2025-01-22,USB-C Cable,Electronics,3.0,261.53,East,Debit Card,CUST1531,784.59,2025-01,3.0
ORD1439,2025-01-22,Office Chair,Furniture,1.0,5294.82,East,Cash,CUST1033,5294.82,2025-01,1.0
ORD1476,2025-01-22,Backpack,Accessories,3.0,1241.19,East,Credit Card,CUST1523,3723.57,2025-01,3.0
ORD1103,2025-01-23,Notebook Set,Stationery,5.0,160.37,South,Debit Card,CUST1583,801.85,2025-01,5.0
ORD1479,2025-01-23,Notebook Set,Stationery,7.0,137.56,North,Cash,CUST1682,962.92,2025-01,7.0
ORD2459,2025-01-23,LED Desk Lamp,Electronics,2.0,825.13,South,Credit Card,CUST1586,1650.26,2025-01,2.0
ORD1859,2025-01-23,Office Chair,Furniture,7.0,5019.71,South,Debit Card,CUST1246,35137.97,2025-01,7.0
ORD2166,2025-01-23,Office Chair,Furniture,6.0,4669.19,North,Credit Card,CUST1735,28015.14,2025-01,6.0
ORD1955,2025-01-23,Yoga Mat,Fitness,4.0,794.6,North,Net Banking,CUST1817,3178.4,2025-01,4.0
ORD1801,2025-01-24,Coffee Mug,Kitchen,6.0,216.15,North,Credit Card,CUST1364,1296.9,2025-01,6.0
ORD2186,2025-01-24,Water Bottle,Accessories,4.0,321.02,South,Upi,CUST1767,1284.08,2025-01,4.0
ORD1197,2025-01-24,Bluetooth Speaker,Electronics,7.0,1378.05,East,Upi,CUST1569,9646.35,2025-01,7.0
ORD1181,2025-01-24,Coffee Mug,Kitchen,4.0,204.64,North,Credit Card,CUST1805,818.56,2025-01,4.0
ORD1458,2025-01-24,LED Desk Lamp,Electronics,6.0,854.12,East,Upi,CUST1053,5124.72,2025-01,6.0
ORD2130,2025-01-24,Table Lamp,Furniture,2.0,1221.03,East,Credit Card,CUST1580,2442.06,2025-01,2.0
ORD2313,2025-01-25,Desk Organizer,Stationery,1.0,347.6,North,Net Banking,CUST1816,347.6,2025-01,1.0
ORD1005,2025-01-25,Backpack,Accessories,6.0,1389.28,East,Credit Card,CUST1747,8335.68,2025-01,6.0
ORD1032,2025-01-25,Bluetooth Speaker,Electronics,7.0,1455.32,West,Debit Card,CUST1884,10187.24,2025-01,7.0
ORD1604,2025-01-26,Desk Organizer,Stationery,5.0,357.57,South,Debit Card,CUST1850,1787.85,2025-01,5.0
ORD1420,2025-01-26,Wireless Mouse,Electronics,5.0,565.7,South,Debit Card,CUST1383,2828.5,2025-01,5.0
ORD2094,2025-01-26,Bluetooth Speaker,Electronics,1.0,1507.65,South,Cash,CUST1175,1507.65,2025-01,1.0
ORD1443,2025-01-27,Backpack,Accessories,4.0,1246.44,North,Debit Card,CUST1269,4985.76,2025-01,4.0
ORD2323,2025-01-27,Bluetooth Speaker,Electronics,1.0,1527.53,North,Net Banking,CUST1808,1527.53,2025-01,1.0
ORD1771,2025-01-27,Backpack,Accessories,2.0,1185.67,West,Net Banking,CUST1055,2371.34,2025-01,2.0
ORD1001,2025-01-27,Table Lamp,Furniture,2.0,1220.7,North,Credit Card,CUST1095,2441.4,2025-01,2.0
ORD1049,2025-01-27,Desk Organizer,Stationery,3.0,643.29,North,Net Banking,CUST1159,1929.87,2025-01,3.0
ORD2218,2025-01-27,Wireless Mouse,Electronics,7.0,656.44,West,Net Banking,CUST1610,4595.08,2025-01,7.0
ORD2083,2025-01-27,Office Chair,Furniture,4.0,4653.62,South,Upi,CUST1814,18614.48,2025-01,4.0
ORD1974,2025-01-27,USB-C Cable,Electronics,8.0,241.61,East,Cash,CUST1197,1932.88,2025-01,8.0
ORD2108,2025-01-28,Coffee Mug,Kitchen,2.0,189.08,West,Upi,CUST1643,378.16,2025-01,2.0
ORD1983,2025-01-28,Desk Organizer,Stationery,8.0,364.03,North,Credit Card,CUST1074,2912.24,2025-01,8.0
ORD2147,2025-01-28,Office Chair,Furniture,3.0,4713.17,East,Debit Card,CUST1418,14139.51,2025-01,3.0
ORD2234,2025-01-28,Bluetooth Speaker,Electronics,5.0,1596.02,North,Net Banking,CUST1107,7980.1,2025-01,5.0
ORD1738,2025-01-28,USB-C Cable,Electronics,2.0,249.16,East,Credit Card,CUST1822,498.32,2025-01,2.0
ORD1296,2025-01-28,USB-C Cable,Electronics,6.0,236.14,North,Cash,CUST1460,1416.84,2025-01,6.0
ORD1302,2025-01-28,Wireless Mouse,Electronics,7.0,555.15,East,Cash,CUST1782,3886.05,2025-01,7.0
ORD1345,2025-01-29,Yoga Mat,Fitness,1.0,851.54,South,Net Banking,CUST1549,851.54,2025-01,1.0
ORD2263,2025-01-29,Backpack,Accessories,2.0,1265.12,East,Credit Card,CUST1535,2530.24,2025-01,2.0
ORD2436,2025-01-29,USB-C Cable,Electronics,8.0,252.34,South,Upi,CUST1205,2018.72,2025-01,8.0
ORD1315,2025-01-29,Table Lamp,Furniture,4.0,1083.64,East,Debit Card,CUST1155,4334.56,2025-01,4.0
ORD1786,2025-01-29,LED Desk Lamp,Electronics,8.0,920.17,East,Net Banking,CUST1503,7361.36,2025-01,8.0
ORD2012,2025-01-29,Notebook Set,Stationery,3.0,154.52,West,Debit Card,CUST1180,463.56,2025-01,3.0
ORD1000,2025-01-29,Desk Organizer,Stationery,1.0,365.86,South,Upi,CUST1142,365.86,2025-01,1.0
ORD2044,2025-01-29,LED Desk Lamp,Electronics,3.0,898.34,South,Net Banking,CUST1974,2695.02,2025-01,3.0
ORD1878,2025-01-29,USB-C Cable,Electronics,3.0,262.88,South,Debit Card,CUST1423,788.64,2025-01,3.0
ORD2100,2025-01-30,Coffee Mug,Kitchen,7.0,190.39,East,Debit Card,CUST1231,1332.73,2025-01,7.0
ORD2480,2025-01-30,Bluetooth Speaker,Electronics,2.0,1385.69,South,Credit Card,CUST1600,2771.38,2025-01,2.0
ORD2335,2025-01-30,USB-C Cable,Electronics,3.0,238.57,South,Net Banking,CUST1934,715.71,2025-01,3.0
ORD2222,2025-01-30,Coffee Mug,Kitchen,8.0,203.88,East,Debit Card,CUST1714,1631.04,2025-01,8.0
ORD1485,2025-01-30,Table Lamp,Furniture,4.0,1256.74,North,Credit Card,CUST1879,5026.96,2025-01,4.0
ORD2231,2025-01-30,Backpack,Accessories,4.0,1200.45,South,Debit Card,CUST1264,4801.8,2025-01,4.0
ORD1425,2025-01-30,Table Lamp,Furniture,1.0,1282.73,North,Upi,CUST1952,1282.73,2025-01,1.0
ORD1936,2025-01-30,Coffee Mug,Kitchen,8.0,192.05,North,Debit Card,CUST1180,1536.4,2025-01,8.0
ORD1632,2025-01-30,Coffee Mug,Kitchen,2.0,209.32,South,Credit Card,CUST1349,418.64,2025-01,2.0
ORD2264,2025-01-31,Office Chair,Furniture,6.0,4803.96,East,Cash,CUST1301,28823.76,2025-01,6.0
ORD2485,2025-01-31,Desk Organizer,Stationery,3.0,374.27,South,Credit Card,CUST1568,1122.81,2025-01,3.0
ORD1899,2025-01-31,Wireless Mouse,Electronics,1.0,594.79,North,Upi,CUST1818,594.79,2025-01,1.0
ORD1305,2025-01-31,Yoga Mat,Fitness,3.0,874.92,West,Cash,CUST1813,2624.76,2025-01,3.0
ORD1340,2025-01-31,Desk Organizer,Stationery,8.0,335.52,West,Net Banking,CUST1945,2684.16,2025-01,8.0
ORD2190,2025-02-01,Desk Organizer,Stationery,7.0,340.17,North,Cash,Guest,2381.19,2025-02,7.0
ORD1077,2025-02-01,Notebook Set,Stationery,8.0,138.07,West,Net Banking,CUST1572,1104.56,2025-02,8.0
ORD2446,2025-02-01,Yoga Mat,Fitness,5.0,871.08,South,Cash,CUST1462,4355.4,2025-02,5.0
ORD1286,2025-02-01,Wireless Mouse,Electronics,3.0,575.53,South,Cash,CUST1957,1726.59,2025-02,3.0
ORD2098,2025-02-01,Water Bottle,Accessories,8.0,275.7,South,Debit Card,CUST1780,2205.6,2025-02,8.0
ORD1600,2025-02-01,Office Chair,Furniture,6.0,5210.07,North,Debit Card,CUST1897,31260.42,2025-02,6.0
ORD1187,2025-02-02,Wireless Mouse,Electronics,7.0,602.13,North,Debit Card,CUST1459,4214.91,2025-02,7.0
ORD2460,2025-02-02,Water Bottle,Accessories,6.0,326.15,North,Cash,CUST1063,1956.9,2025-02,6.0
ORD1088,2025-02-02,Coffee Mug,Kitchen,1.0,215.2,North,Credit Card,CUST1658,215.2,2025-02,1.0
ORD1449,2025-02-02,Desk Organizer,Stationery,3.0,331.53,East,Upi,CUST1779,994.59,2025-02,3.0
ORD1148,2025-02-02,Wireless Mouse,Electronics,6.0,643.29,West,Credit Card,CUST1538,3859.74,2025-02,6.0
ORD2052,2025-02-02,Yoga Mat,Fitness,8.0,760.71,South,Upi,CUST1575,6085.68,2025-02,8.0
